codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,2,33,68,5
1,1,2,33,187,3
1,1,2,33,3001,2
1,1,2,33,3002,1
1,1,2,33,3003,0
1,1,2,33,3004,1
1,1,2,33,234,2
1,1,2,33,324,2
1,1,2,33,325,0
1,1,2,33,501,61
1,1,2,33,3005,10
1,1,2,33,3006,15
1,1,2,33,3007,28
1,1,2,33,3008,1
1,1,2,33,503,52
1,1,2,33,3009,9
1,1,2,33,505,9
1,1,2,33,506,10
1,1,2,34,9001,343
1,1,2,34,9002,251
1,1,2,34,9003,0
1,1,2,34,9004,3
1,1,2,34,9005,5
1,1,2,34,9006,0
1,1,2,34,8,0
1,1,2,34,68,8
1,1,2,34,187,4
1,1,2,34,3001,1
1,1,2,34,3002,0
1,1,2,34,3003,0
1,1,2,34,3004,0
1,1,2,34,234,2
1,1,2,34,324,2
1,1,2,34,325,1
1,1,2,34,501,67
1,1,2,34,3005,16
1,1,2,34,3006,17
1,1,2,34,3007,34
1,1,2,34,3008,3
1,1,2,34,503,60
1,1,2,34,3009,5
1,1,2,34,505,16
1,1,2,34,506,9
1,1,2,35,9001,342
1,1,2,35,9002,254
1,1,2,35,9003,0
1,1,2,35,9004,8
1,1,2,35,9005,3
1,1,2,35,9006,0
1,1,2,35,8,0
1,1,2,35,68,5
1,1,2,35,187,6
1,1,2,35,3001,2
1,1,2,35,3002,0
1,1,2,35,3003,0
1,1,2,35,3004,2
1,1,2,35,234,1
1,1,2,35,324,3
1,1,2,35,325,4
1,1,2,35,501,88
1,1,2,35,3005,11
1,1,2,35,3006,21
1,1,2,35,3007,28
1,1,2,35,3008,2
1,1,2,35,503,51
1,1,2,35,3009,3
1,1,2,35,505,5
1,1,2,35,506,11
1,1,2,36,9001,342
1,1,2,36,9002,223
1,1,2,36,9003,0
1,1,2,36,9004,7
1,1,2,36,9005,2
1,1,2,36,9006,0
1,1,2,36,8,2
1,1,2,36,68,5
1,1,2,36,187,10
1,1,2,36,3001,0
1,1,2,36,3002,2
