codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3008,UNEN,LISTA PRESIDENTE ILLIA,502,735
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,1987
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9001,ELECTORES,,9001,158518
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9002,VOTANTES,,9002,109062
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9003,VOTOS IMPUGNADOS,,9003,60
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9004,VOTOS BLANCOS,,9004,1806
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9005,VOTOS NULOS,,9005,1685
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9006,VOTOS RECURRIDOS,,9006,29
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,9007,EMPADRONADOS,,9007,158518
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,8,PARTIDO FEDERAL,,8,414
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,68,NUEVA IZQUIERDA,,68,2040
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,187,AUTODETERMINACION Y LIBERTAD,,187,3162
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,234,MOVIMIENTO AL SOCIALISMO,,234,1211
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,324,PARTIDO FE,,324,471
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,934
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,501,FRENTE PARA LA VICTORIA,,501,28110
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,503,UNION PRO,,503,37083
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,5013
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,506,CAMINO POPULAR,,506,3808
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,709
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,133
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,93
