codigo_partido,partido,lista_interna,agrupacion
3112,PARTIDO JUSTICIALISTA,LISTA  DESCAMISADOS  - LETRA  C,2
3113,UNION CIVICA RADICAL,LISTA  FUERZA Y COMPROMISO RADICAL  - LETRA  A,3
3114,UNION CIVICA RADICAL,LISTA  ANA CACHIN PRESENTE  - LETRA  B,3
3115,UNION CIVICA RADICAL,LISTA  VALORES Y FUTURO  - LETRA  C,3
3116,FRENTE CIVICO Y SOCIAL 2013,LIBERTAD PAZ Y COMPROMISO POR CATAMARCA,508
3117,FRENTE CIVICO Y SOCIAL 2013,ALTERNATIVA PROGRESISTA,508
3118,FRENTE PARA LA VICTORIA,LISTA K - 17 DE OCTUBRE,501
3119,FRENTE PARA LA VICTORIA,LISTA B - JUAN DOMINGO CHACO,501
3120,FRENTE PARA LA VICTORIA,LISTA H - MODELO ARGENTINO,501
3121,FRENTE PARA LA VICTORIA,LISTA V - RAZON DE VIDA EVITA,501
3122,FRENTE PARA LA VICTORIA,LISTA C - UNIDAD Y LEALTAD,501
3123,UNION POR CHACO,LISTA A - UNIDAD,519
3124,UNION POR CHACO,LISTA B - SOMOS PARTE,519
3125,ALIANZA FRENTE AMPLIO PROGRESISTA,LISTA A - UNIDAD PROGRESISTA,546
3126,ALIANZA FRENTE AMPLIO PROGRESISTA,LISTA B - NO A LA RE-RE-ELECCION,546
3127,ALIANZA FRENTE AMPLIO PROGRESISTA,LISTA C - PASO AL FRENTE,546
3128,FRENTE PARA LA VICTORIA,FRENTE JUSTICIALISTA PARA LA VICTORIA,501
3129,FRENTE PARA LA VICTORIA,BASTA,501
3130,FRENTE AMPLIO FORMOSEÑO,UNIDAD FORMOSEÑA,521
3131,FRENTE AMPLIO FORMOSEÑO,NUEVA INICIATIVA,521
3132,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",JOVENES EN MARCHA,539
3133,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",UNIDOS PARA CAMBIAR,539
3134,"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",UNION POR LA LIBERTAD Y EL TRABAJO,539
3135,FRENTE PROGRESISTA CIVICO Y SOCIAL,CAUCE,514
3136,FRENTE PROGRESISTA CIVICO Y SOCIAL,SANTA FE AVANZA,514
3137,UNION PD-PRO,COMPROMISO POR EL FUTURO,527
3138,UNION PD-PRO,ES AHORA,527
3139,UNION PD-PRO,IDENTIDAD Y COMPROMISO,527
3140,COMPROMISO FEDERAL,SAN LUIS UNIDAD,504
3141,COMPROMISO FEDERAL,LLAMANDO A LAS BASES,504
3142,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION Y UNIDAD,514
3143,FRENTE PROGRESISTA CIVICO Y SOCIAL,GEN T DEL SOCIALISMO,514
3144,FRENTE PROGRESISTA CIVICO Y SOCIAL,COMPROMISO REPUBLICANO,514
3145,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNEN SAN LUIS,514
3283,DEMOCRATA INDEPENDIENTE,LISTA AZUL,150
3286,FRENTE PARA LA VICTORIA,CELESTE Y BLANCA K,501
3307,FRENTE RENOVADOR,CORRIENTE RENOVADORA - LISTA 1,510
3308,FRENTE RENOVADOR,CONCERTACION PLURAL - LISTA 2,510
3309,FRENTE RENOVADOR,LINEA POPULAR - LISTA 3,510
3310,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PROGRESISTA - A,514
3311,FRENTE PROGRESISTA CIVICO Y SOCIAL,GENTE EN QUIEN CONFIAR - D,514
3312,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO BASES - LISTA JA,514
3314,FRENTE PROGRESISTA CIVICO Y SOCIAL,27 - JJ,514
3315,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROYECTO HERENSE - ML,514
3316,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISMO BROWN-X,514
3317,FRENTE PROGRESISTA CIVICO Y SOCIAL,SOCIALISMO Y PARTICIPACION - GG,514
3318,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR ALMIRANTE BROWN - NP,514
